beta1,gamma1,beta2,gamma2
1.540310621261596680e+00,3.567931652069091797e-01,1.387096524238586426e+00,1.044108510017395020e+00
1.559040307998657227e+00,3.574307560920715332e-01,1.397097706794738770e+00,1.061643838882446289e+00
1.521455168724060059e+00,3.510774672031402588e-01,1.374074339866638184e+00,1.037686467170715332e+00
1.459387302398681641e+00,3.692386448383331299e-01,1.473654150962829590e+00,9.315579533576965332e-01
1.509329557418823242e+00,3.611011803150177002e-01,1.393141627311706543e+00,9.600535631179809570e-01
1.592424988746643066e+00,3.586646318435668945e-01,1.387260198593139648e+00,1.071900367736816406e+00
1.205152273178100586e+00,2.486177384853363037e-01,1.808811306953430176e+00,1.054085493087768555e+00
1.580990791320800781e+00,3.537119030952453613e-01,1.341656923294067383e+00,1.033395409584045410e+00
1.421861648559570312e+00,2.934871613979339600e-01,1.572667717933654785e+00,1.148299098014831543e+00
1.498374819755554199e+00,3.393499255180358887e-01,1.357951283454895020e+00,9.702551364898681641e-01
1.575438380241394043e+00,3.465437591075897217e-01,1.312550067901611328e+00,1.023412823677062988e+00
1.595194101333618164e+00,3.430540263652801514e-01,1.343397736549377441e+00,1.128674864768981934e+00
1.654875755310058594e+00,3.786914050579071045e-01,1.265101313591003418e+00,1.041317939758300781e+00
1.397140741348266602e+00,2.728459239006042480e-01,1.537922859191894531e+00,1.202534198760986328e+00
1.453576326370239258e+00,2.926464378833770752e-01,1.479009032249450684e+00,1.195577859878540039e+00
1.566323995590209961e+00,3.835249841213226318e-01,1.380859732627868652e+00,9.862278699874877930e-01
1.605281591415405273e+00,3.822061419486999512e-01,1.328505635261535645e+00,1.049767017364501953e+00
1.462318301200866699e+00,3.442987203598022461e-01,1.501050114631652832e+00,1.006962537765502930e+00
1.532644033432006836e+00,3.597648441791534424e-01,1.377583384513854980e+00,9.167094826698303223e-01
1.365157485008239746e+00,2.933964431285858154e-01,1.583316683769226074e+00,1.105529665946960449e+00
1.516916871070861816e+00,3.800835311412811279e-01,1.417884588241577148e+00,9.103522896766662598e-01
1.545740485191345215e+00,3.465107679367065430e-01,1.331163048744201660e+00,1.059304833412170410e+00
1.505344748497009277e+00,3.384876251220703125e-01,1.488169074058532715e+00,1.098066687583923340e+00
1.528403759002685547e+00,3.227405548095703125e-01,1.420993328094482422e+00,1.117751121520996094e+00
1.448041200637817383e+00,2.989062070846557617e-01,1.480208396911621094e+00,1.174999237060546875e+00
1.439109325408935547e+00,3.253844678401947021e-01,1.394282102584838867e+00,9.873341917991638184e-01
1.515859723091125488e+00,3.608935475349426270e-01,1.470643043518066406e+00,1.034855604171752930e+00
1.668827652931213379e+00,3.207077383995056152e-01,1.243621468544006348e+00,1.281282663345336914e+00
1.426128745079040527e+00,3.496108353137969971e-01,1.454799056053161621e+00,9.066359996795654297e-01
1.283509731292724609e+00,2.601575851440429688e-01,1.739486336708068848e+00,1.202060818672180176e+00
1.502075076103210449e+00,3.141947686672210693e-01,1.418004870414733887e+00,1.162412524223327637e+00
1.523362755775451660e+00,3.802564442157745361e-01,1.401811480522155762e+00,9.605818986892700195e-01
1.531268477439880371e+00,3.503614068031311035e-01,1.459445238113403320e+00,1.075093388557434082e+00
1.580494999885559082e+00,3.403544425964355469e-01,1.401167273521423340e+00,1.168366193771362305e+00
1.482574462890625000e+00,3.519846200942993164e-01,1.450038313865661621e+00,9.900029301643371582e-01
1.564796805381774902e+00,3.628689944744110107e-01,1.460161328315734863e+00,1.014568805694580078e+00
1.633927345275878906e+00,3.821609616279602051e-01,1.235128879547119141e+00,1.040334105491638184e+00
1.549874067306518555e+00,3.718557059764862061e-01,1.424933671951293945e+00,9.857614636421203613e-01
1.511506795883178711e+00,3.331554830074310303e-01,1.462110519409179688e+00,1.121036529541015625e+00
1.497324705123901367e+00,3.664569258689880371e-01,1.358223557472229004e+00,9.579636454582214355e-01
1.566223740577697754e+00,3.702889382839202881e-01,1.284597873687744141e+00,9.383910894393920898e-01
1.588912129402160645e+00,3.623183369636535645e-01,1.292735934257507324e+00,1.093993663787841797e+00
1.515988826751708984e+00,3.640312254428863525e-01,1.403599739074707031e+00,1.005202174186706543e+00
1.442213654518127441e+00,3.054949641227722168e-01,1.530721783638000488e+00,1.145377993583679199e+00
1.574877023696899414e+00,3.466785550117492676e-01,1.435176491737365723e+00,1.099730610847473145e+00
1.466011166572570801e+00,3.131548762321472168e-01,1.493380308151245117e+00,1.154653072357177734e+00
1.500170350074768066e+00,2.984412312507629395e-01,1.459929347038269043e+00,1.110502362251281738e+00
1.531837582588195801e+00,3.793981373310089111e-01,1.393237233161926270e+00,9.107832908630371094e-01
1.504764199256896973e+00,3.364065587520599365e-01,1.482099413871765137e+00,1.072098970413208008e+00
1.489275693893432617e+00,3.488783240318298340e-01,1.492694377899169922e+00,1.091402053833007812e+00
1.555305123329162598e+00,3.869162201881408691e-01,1.343389391899108887e+00,9.712924957275390625e-01
1.536812543869018555e+00,4.267874956130981445e-01,1.369050621986389160e+00,7.953180074691772461e-01
1.697691679000854492e+00,3.610187768936157227e-01,1.213910937309265137e+00,1.165372252464294434e+00
1.584885835647583008e+00,3.932028710842132568e-01,1.348552703857421875e+00,9.664411544799804688e-01
1.568413138389587402e+00,3.967103958129882812e-01,1.338197112083435059e+00,9.419767260551452637e-01
1.560356855392456055e+00,3.490582704544067383e-01,1.370380520820617676e+00,1.062521338462829590e+00
1.431223511695861816e+00,2.883850634098052979e-01,1.422209143638610840e+00,1.139736413955688477e+00
1.715361237525939941e+00,4.204663336277008057e-01,1.252992272377014160e+00,1.066889524459838867e+00
1.482122182846069336e+00,3.325912952423095703e-01,1.479646921157836914e+00,1.053964257240295410e+00
1.524468302726745605e+00,3.469227850437164307e-01,1.392679095268249512e+00,1.011227369308471680e+00
1.542531490325927734e+00,3.888923525810241699e-01,1.314308524131774902e+00,9.031495451927185059e-01
1.540265440940856934e+00,3.724907338619232178e-01,1.444619894027709961e+00,9.934887886047363281e-01
1.579114437103271484e+00,3.472028374671936035e-01,1.399063229560852051e+00,1.128795862197875977e+00
1.503650784492492676e+00,3.451028168201446533e-01,1.411473989486694336e+00,9.882114529609680176e-01
